"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-17,48,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,16,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,16,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,19,"night","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,19,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,20,"night","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,20,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,21,"night","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,21,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,22,"night","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,22,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,23,"night","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,23,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,0,"night","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,0,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,1,"night","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,1,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,2,"night","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,2,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,3,"night","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,3,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,4,"night","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,4,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,7,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,7,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,9,"day","timelapse",6,0,0
